phone,lng,lat,is delivered,created at,updated at,id
(836) 345-0897 x0638,-149.2785,40.2521,,2018-03-19 16:00:02 UTC,2018-03-19 16:00:02 UTC,3866
(034) 418-2853 x99372,99.4222,-18.2556,true,2018-03-19 16:00:03 UTC,2018-03-19 16:00:03 UTC,3867
(237) 201-4279 x22086,173.8817,-72.8314,true,2018-03-19 16:00:05 UTC,2018-03-19 16:00:05 UTC,3868
673.152.2000 x6906,-8.1444,9.2817,,2018-03-19 16:00:10 UTC,2018-03-19 16:00:10 UTC,3869
1-951-775-1554 x813,-25.8394,4.079,true,2018-03-19 16:00:11 UTC,2018-03-19 16:00:11 UTC,3870
1-287-075-1974 x477,-176.5672,-63.6326,true,2018-03-19 16:00:13 UTC,2018-03-19 16:00:13 UTC,3871
1-670-384-7573 x87163,-75.8078,0.7767,true,2018-03-19 16:00:17 UTC,2018-03-19 16:00:17 UTC,3872
899.978.1634 x08207,11.7587,73.0543,,2018-03-19 16:00:19 UTC,2018-03-19 16:00:19 UTC,3873
1-328-514-4969 x826,-89.934,47.9222,true,2018-03-19 16:00:24 UTC,2018-03-19 16:00:24 UTC,3874
826.746.2584 x8167,-143.0072,-51.5124,,2018-03-19 16:00:25 UTC,2018-03-19 16:00:25 UTC,3875
934.004.9870 x65141,-36.3153,-46.5341,,2018-03-19 16:00:30 UTC,2018-03-19 16:00:30 UTC,3876
415.532.5693 x99505,-94.1606,-9.9859,,2018-03-19 16:00:33 UTC,2018-03-19 16:00:33 UTC,3877
318.999.6841 x147,-37.9102,-50.1833,,2018-03-19 16:00:34 UTC,2018-03-19 16:00:34 UTC,3878
262.040.1484,-43.87,69.4965,,2018-03-19 16:00:38 UTC,2018-03-19 16:00:38 UTC,3879
250.357.1857 x34416,64.8475,-16.5247,,2018-03-19 16:00:41 UTC,2018-03-19 16:00:41 UTC,3880
(389) 423-9648 x6912,125.7652,29.6732,,2018-03-19 16:00:44 UTC,2018-03-19 16:00:44 UTC,3881
1-890-283-9539 x2421,-146.6194,-79.9274,,2018-03-19 16:00:45 UTC,2018-03-19 16:00:45 UTC,3882
(023) 771-0543,-25.7648,-68.7829,true,2018-03-19 16:00:47 UTC,2018-03-19 16:00:47 UTC,3883
1-169-802-1327 x0457,164.5837,52.884,,2018-03-19 16:00:48 UTC,2018-03-19 16:00:48 UTC,3884
1-007-114-1551 x83765,14.2967,-15.4851,,2018-03-19 16:00:51 UTC,2018-03-19 16:00:51 UTC,3885
(769) 260-1118 x7927,91.937,-50.6854,,2018-03-19 16:00:52 UTC,2018-03-19 16:00:52 UTC,3886
(096) 849-8622 x3520,128.7781,-31.0766,true,2018-03-19 16:00:54 UTC,2018-03-19 16:00:54 UTC,3887
585-726-4907,-162.4606,72.3194,,2018-03-19 16:00:57 UTC,2018-03-19 16:00:57 UTC,3888
1-867-267-6007,-172.4169,13.8105,,2018-03-19 16:00:58 UTC,2018-03-19 16:00:58 UTC,3889
1-406-355-6391 x0921,115.8264,-85.2161,,2018-03-19 16:00:59 UTC,2018-03-19 16:00:59 UTC,3890
108-742-8952,37.6076,80.1494,true,2018-03-19 16:01:03 UTC,2018-03-19 16:01:03 UTC,3891
931.671.6278,88.9538,55.9759,,2018-03-19 16:01:06 UTC,2018-03-19 16:01:06 UTC,3892
254.429.4355 x8687,-63.7665,-43.4852,,2018-03-19 16:01:09 UTC,2018-03-19 16:01:09 UTC,3893
(027) 761-4700,110.3278,-2.54,,2018-03-19 16:01:10 UTC,2018-03-19 16:01:10 UTC,3894
(642) 340-4364,-106.3682,27.9317,,2018-03-19 16:01:12 UTC,2018-03-19 16:01:12 UTC,3895
593.094.7100,34.3669,1.6775,,2018-03-19 16:01:15 UTC,2018-03-19 16:01:15 UTC,3896
(080) 814-1381 x939,47.1931,-32.929,true,2018-03-19 16:01:16 UTC,2018-03-19 16:01:16 UTC,3897
1-097-616-5017,-85.489,-81.0314,true,2018-03-19 16:01:19 UTC,2018-03-19 16:01:19 UTC,3898
(635) 310-6954 x463,149.0056,-72.9402,,2018-03-19 16:01:21 UTC,2018-03-19 16:01:21 UTC,3899
566-926-6361 x6128,6.4122,88.4354,true,2018-03-19 16:01:24 UTC,2018-03-19 16:01:24 UTC,3900
(464) 626-9104 x455,-49.2753,57.4552,true,2018-03-19 16:01:25 UTC,2018-03-19 16:01:25 UTC,3901
667-510-0334,44.6059,-47.8236,,2018-03-19 16:01:27 UTC,2018-03-19 16:01:27 UTC,3902
122.398.4124 x75139,-74.275,5.702,true,2018-03-19 16:01:28 UTC,2018-03-19 16:01:28 UTC,3903
(206) 747-3205 x90146,16.291,71.6217,true,2018-03-19 16:01:31 UTC,2018-03-19 16:01:31 UTC,3904
549-914-4055,-140.0284,-48.7026,true,2018-03-19 16:01:35 UTC,2018-03-19 16:01:35 UTC,3905
(234) 494-4618,64.16,-40.2572,true,2018-03-19 16:01:37 UTC,2018-03-19 16:01:37 UTC,3906
374.532.3409 x029,43.6849,-89.7934,true,2018-03-19 16:01:38 UTC,2018-03-19 16:01:38 UTC,3907
(373) 811-3406 x825,-151.8485,-47.9555,,2018-03-19 16:01:39 UTC,2018-03-19 16:01:39 UTC,3908
996-079-5116,33.3235,57.9013,true,2018-03-19 16:01:42 UTC,2018-03-19 16:01:42 UTC,3909
784-196-4532,-105.0172,87.8102,true,2018-03-19 16:01:44 UTC,2018-03-19 16:01:44 UTC,3910
711.153.1894 x24584,-47.8159,-89.097,true,2018-03-19 16:01:47 UTC,2018-03-19 16:01:47 UTC,3911
664.482.0703,22.778,-35.1841,,2018-03-19 16:01:48 UTC,2018-03-19 16:01:48 UTC,3912
1-706-754-9585 x7401,-26.1122,6.6153,true,2018-03-19 16:01:49 UTC,2018-03-19 16:01:49 UTC,3913
190.646.7948,83.3239,-15.7818,true,2018-03-19 16:01:50 UTC,2018-03-19 16:01:50 UTC,3914
477.571.9827 x16276,62.8047,-17.8334,true,2018-03-19 16:01:54 UTC,2018-03-19 16:01:54 UTC,3915
820.215.8355 x00127,144.3194,-12.7379,true,2018-03-19 16:01:55 UTC,2018-03-19 16:01:55 UTC,3916
(998) 268-6276 x50268,90.5004,85.7974,,2018-03-19 16:01:56 UTC,2018-03-19 16:01:56 UTC,3917
(043) 797-7601 x87233,-171.4601,4.1184,,2018-03-19 16:01:58 UTC,2018-03-19 16:01:58 UTC,3918
050.465.4278 x876,-106.8811,85.908,,2018-03-19 16:02:02 UTC,2018-03-19 16:02:02 UTC,3919
149.579.5028 x230,-134.2629,44.2691,,2018-03-19 16:02:04 UTC,2018-03-19 16:02:04 UTC,3920
(321) 692-1321 x424,-169.47,-43.8592,true,2018-03-19 16:02:05 UTC,2018-03-19 16:02:05 UTC,3921
531.963.1985 x24901,159.3528,64.7695,true,2018-03-19 16:02:08 UTC,2018-03-19 16:02:08 UTC,3922
1-545-506-9991,-105.2263,30.5937,true,2018-03-19 16:02:13 UTC,2018-03-19 16:02:13 UTC,3923
(587) 044-4087 x90915,152.0924,-25.7961,true,2018-03-19 16:02:15 UTC,2018-03-19 16:02:15 UTC,3924
473.136.3387 x307,31.6213,48.9842,true,2018-03-19 16:02:16 UTC,2018-03-19 16:02:16 UTC,3925
518.196.3117,-175.1039,0.0471,true,2018-03-19 16:02:18 UTC,2018-03-19 16:02:18 UTC,3926
1-148-630-7194 x6713,-33.5697,-4.3806,,2018-03-19 16:02:21 UTC,2018-03-19 16:02:21 UTC,3927
415-910-0072 x777,-22.076,80.3676,,2018-03-19 16:02:22 UTC,2018-03-19 16:02:22 UTC,3928
(233) 887-5279 x638,134.8984,30.4274,,2018-03-19 16:02:25 UTC,2018-03-19 16:02:25 UTC,3929
1-489-249-8487 x14653,108.394,-35.4143,,2018-03-19 16:02:29 UTC,2018-03-19 16:02:29 UTC,3930
1-361-882-5698,-169.1611,66.6071,true,2018-03-19 16:02:30 UTC,2018-03-19 16:02:30 UTC,3931
1-002-608-4528,-60.2861,-7.3335,true,2018-03-19 16:02:32 UTC,2018-03-19 16:02:32 UTC,3932
(378) 077-0444 x5461,3.1198,44.1746,,2018-03-19 16:02:35 UTC,2018-03-19 16:02:35 UTC,3933
495-839-2103,-30.0074,88.1336,,2018-03-19 16:02:38 UTC,2018-03-19 16:02:38 UTC,3934
(974) 610-7243 x33526,131.2727,-87.5366,true,2018-03-19 16:02:40 UTC,2018-03-19 16:02:40 UTC,3935
662.692.1698 x66672,111.2976,-21.5152,true,2018-03-19 16:02:41 UTC,2018-03-19 16:02:41 UTC,3936
526-595-5121 x105,29.6562,70.6837,true,2018-03-19 16:02:45 UTC,2018-03-19 16:02:45 UTC,3937
1-835-680-5306 x49776,-86.792,49.2291,true,2018-03-19 16:02:46 UTC,2018-03-19 16:02:46 UTC,3938
544-757-1387 x2012,-65.43,85.4093,true,2018-03-19 16:02:47 UTC,2018-03-19 16:02:47 UTC,3939
1-613-130-8214 x136,44.7307,11.1026,,2018-03-19 16:02:50 UTC,2018-03-19 16:02:50 UTC,3940
1-064-099-2328,154.2145,-63.3383,,2018-03-19 16:02:52 UTC,2018-03-19 16:02:52 UTC,3941
1-127-223-5449 x4869,30.6822,35.7736,true,2018-03-19 16:02:53 UTC,2018-03-19 16:02:53 UTC,3942
290.944.3140 x79163,126.0373,-41.6012,true,2018-03-19 16:02:56 UTC,2018-03-19 16:02:56 UTC,3943
